filename,job_name,selected_gpu_id,selected_gpu_type,runtime_on_gpu,job_jct,gpu_milli,A100,GTX2080Ti,V100,ddl,frag_size,frag_size_runtime,frag_size_jct
allox_[0-10],openb-pod-1478,5,GTX2080Ti,1733.0,1733.0,480,1177.0,1733,3023,inf,104.0,180232.0,180232.0
allox_[0-10],openb-pod-1118,7,GTX2080Ti,2233.0,2233.0,470,1122.0,2233,2934,inf,106.0,236698.0,236698.0
allox_[0-10],openb-pod-1976,6,GTX2080Ti,2303.0,2303.0,650,1414.0,2303,3613,inf,192.50000000000003,443327.50000000006,443327.50000000006
allox_[0-10],openb-pod-1968,8,GTX2080Ti,3215.0,3215.0,460,1741.0,3215,4277,inf,108.0,347220.0,347220.0
allox_[0-10],openb-pod-3108,9,GTX2080Ti,3879.000000000001,3879.000000000001,460,2371.0,3879,6213,3899.0,108.0,418932.0000000001,418932.0000000001
allox_[0-10],openb-pod-3246,1,A100,5757.0,5757.0,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5000000002,1298203.5000000002
allox_[0-10],openb-pod-1918,2,A100,6415.999999999999,6415.999999999999,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0,1235080.0
allox_[0-10],openb-pod-2677,0,A100,6936.0,6936.0,230,6936.0,9945,17310,inf,38.5,267036.0,267036.0
allox_[0-10],openb-pod-3043,3,A100,11166.0,11166.0,810,11166.0,21668,29540,28770.0,161.50000000000003,1803309.0000000002,1803309.0000000002
allox_[0-10],openb-pod-2722,4,A100,20410.000000000004,20410.000000000004,320,20410.0,32091,54074,inf,34.0,693940.0000000001,693940.0000000001
allox_[0-20],openb-pod-1118,0,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
allox_[0-20],openb-pod-1976,1,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
allox_[0-20],openb-pod-1478,5,GTX2080Ti,1733.0,1733.0,480,1177.0,1733,3023,inf,104.0,180232.0,180232.0
allox_[0-20],openb-pod-3108,4,A100,2371.0,2371.0,460,2371.0,3879,6213,3899.0,108.0,256068.0,256068.0
allox_[0-20],openb-pod-2038,2,A100,3066.0,3066.0,470,3066.0,5668,7840,inf,106.0,324996.0,324996.0
allox_[0-20],openb-pod-1652,1,A100,1710.0,3124.0,470,1710.0,3391,4237,inf,106.0,181260.0,331144.0
allox_[0-20],openb-pod-1783,0,A100,2026.0,3148.0,160,2026.0,3215,5317,inf,0.0,0.0,0.0
allox_[0-20],openb-pod-1589,10,V100,3736.000000000001,3736.000000000001,460,1528.0,2792,3736,inf,108.0,403488.0000000001,403488.0000000001
allox_[0-20],openb-pod-2335,9,GTX2080Ti,3790.000000000001,3790.000000000001,230,2554.0,3790,6413,inf,38.5,145915.00000000003,145915.00000000003
allox_[0-20],openb-pod-1968,11,V100,4277.0,4277.0,460,1741.0,3215,4277,inf,108.0,461916.0,461916.0
allox_[0-20],openb-pod-3246,3,A100,5757.0,5757.0,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5000000002,1298203.5000000002
allox_[0-20],openb-pod-2208,6,GTX2080Ti,6747.0,6747.0,320,4589.0,6747,12129,inf,34.0,229398.0,229398.0
allox_[0-20],openb-pod-3380,8,GTX2080Ti,9341.000000000004,9341.000000000004,160,5868.0,9341,14584,inf,0.0,0.0,0.0
allox_[0-20],openb-pod-1918,0,A100,6416.0,9564.0,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0000000002,1841070.0000000002
allox_[0-20],openb-pod-2008,7,GTX2080Ti,11168.0,11168.0,320,7365.0,11168,17685,inf,34.0,379712.0,379712.0
allox_[0-20],openb-pod-2677,5,GTX2080Ti,9945.000000000002,11678.000000000002,230,6936.0,9945,17310,inf,38.5,382882.50000000006,449603.00000000006
allox_[0-20],openb-pod-1426,3,A100,7443.0,13200.0,320,7443.0,13492,19231,inf,34.0,253062.0,448800.0
allox_[0-20],openb-pod-3043,1,A100,11165.999999999996,14289.999999999996,810,11166.0,21668,29540,28770.0,161.50000000000003,1803308.9999999998,2307835.0
allox_[0-20],openb-pod-2722,2,A100,20410.0,23476.0,320,20410.0,32091,54074,inf,34.0,693940.0,798184.0
allox_[0-20],openb-pod-2154,4,A100,23496.999999999996,25867.999999999996,50,23497.0,38828,61265,inf,0.0,0.0,0.0
chronus_[0-10],openb-pod-1118,2,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
chronus_[0-10],openb-pod-1478,0,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
chronus_[0-10],openb-pod-1976,3,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
chronus_[0-10],openb-pod-1968,4,A100,1741.0,1741.0,460,1741.0,3215,4277,inf,108.0,188028.0,188028.0
chronus_[0-10],openb-pod-3108,1,A100,2371.0,2371.0,460,2371.0,3879,6213,3899.0,108.0,256068.0,256068.0
chronus_[0-10],openb-pod-2677,9,GTX2080Ti,9945.0,9945.0,230,6936.0,9945,17310,inf,38.5,382882.5,382882.5
chronus_[0-10],openb-pod-3246,6,GTX2080Ti,11097.0,11097.0,590,5757.0,11097,14806,inf,225.50000000000003,2502373.5000000005,2502373.5000000005
chronus_[0-10],openb-pod-1918,5,GTX2080Ti,12799.999999999996,12799.999999999996,650,6416.0,12800,16238,inf,192.50000000000003,2463999.9999999995,2463999.9999999995
chronus_[0-10],openb-pod-3043,7,GTX2080Ti,21668.0,21668.0,810,11166.0,21668,29540,28770.0,161.50000000000003,3499382.0000000005,3499382.0000000005
chronus_[0-10],openb-pod-2722,8,GTX2080Ti,32090.999999999996,32090.999999999996,320,20410.0,32091,54074,inf,34.0,1091093.9999999998,1091093.9999999998
chronus_[0-20],openb-pod-1118,3,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
chronus_[0-20],openb-pod-1478,4,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
chronus_[0-20],openb-pod-1976,1,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
chronus_[0-20],openb-pod-3108,0,A100,2371.0,2371.0,460,2371.0,3879,6213,3899.0,108.0,256068.0,256068.0
chronus_[0-20],openb-pod-1589,6,GTX2080Ti,2792.0,2792.0,460,1528.0,2792,3736,inf,108.0,301536.0,301536.0
chronus_[0-20],openb-pod-1783,9,GTX2080Ti,3215.0,3215.0,160,2026.0,3215,5317,inf,0.0,0.0,0.0
chronus_[0-20],openb-pod-1968,7,GTX2080Ti,3215.0,3215.0,460,1741.0,3215,4277,inf,108.0,347220.0,347220.0
chronus_[0-20],openb-pod-1652,8,GTX2080Ti,3390.9999999999995,3390.9999999999995,470,1710.0,3391,4237,inf,106.0,359445.99999999994,359445.99999999994
chronus_[0-20],openb-pod-2335,5,GTX2080Ti,3790.0,3790.0,230,2554.0,3790,6413,inf,38.5,145915.0,145915.0
chronus_[0-20],openb-pod-3246,3,A100,5757.0,6879.0,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5000000002,1551214.5000000002
chronus_[0-20],openb-pod-3380,4,A100,5868.000000000002,7046.000000000002,160,5868.0,9341,14584,inf,0.0,0.0,0.0
chronus_[0-20],openb-pod-1918,1,A100,6416.0,7831.0,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0000000002,1507467.5000000002
chronus_[0-20],openb-pod-2038,10,V100,7840.000000000001,7840.000000000001,470,3066.0,5668,7840,inf,106.0,831040.0000000001,831040.0000000001
chronus_[0-20],openb-pod-2677,0,A100,6936.0,9308.0,230,6936.0,9945,17310,inf,38.5,267036.0,358358.0
chronus_[0-20],openb-pod-3043,2,A100,11165.999999999998,11165.999999999998,810,11166.0,21668,29540,28770.0,161.50000000000003,1803309.0,1803309.0
chronus_[0-20],openb-pod-2208,11,V100,12129.000000000002,12129.000000000002,320,4589.0,6747,12129,inf,34.0,412386.00000000006,412386.00000000006
chronus_[0-20],openb-pod-2008,6,GTX2080Ti,11168.0,13960.0,320,7365.0,11168,17685,inf,34.0,379712.0,474640.0
chronus_[0-20],openb-pod-1426,9,GTX2080Ti,13491.999999999996,16706.999999999996,320,7443.0,13492,19231,inf,34.0,458727.9999999999,568037.9999999999
chronus_[0-20],openb-pod-2722,7,GTX2080Ti,32091.0,35306.0,320,20410.0,32091,54074,inf,34.0,1091094.0,1200404.0
chronus_[0-20],openb-pod-2154,8,GTX2080Ti,38827.99999999999,42219.99999999999,50,23497.0,38828,61265,inf,0.0,0.0,0.0
gavel_[0-10],openb-pod-1118,0,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
gavel_[0-10],openb-pod-1478,3,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
gavel_[0-10],openb-pod-1976,1,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
gavel_[0-10],openb-pod-1968,2,A100,1741.0,1741.0,460,1741.0,3215,4277,inf,108.0,188028.0,188028.0
gavel_[0-10],openb-pod-3108,4,A100,2371.0,2371.0,460,2371.0,3879,6213,3899.0,108.0,256068.0,256068.0
gavel_[0-10],openb-pod-2677,9,GTX2080Ti,9945.0,9945.0,230,6936.0,9945,17310,inf,38.5,382882.5,382882.5
gavel_[0-10],openb-pod-3246,7,GTX2080Ti,11097.0,11097.0,590,5757.0,11097,14806,inf,225.50000000000003,2502373.5000000005,2502373.5000000005
gavel_[0-10],openb-pod-1918,5,GTX2080Ti,12799.999999999996,12799.999999999996,650,6416.0,12800,16238,inf,192.50000000000003,2463999.9999999995,2463999.9999999995
gavel_[0-10],openb-pod-3043,6,GTX2080Ti,21668.0,21668.0,810,11166.0,21668,29540,28770.0,161.50000000000003,3499382.0000000005,3499382.0000000005
gavel_[0-10],openb-pod-2722,8,GTX2080Ti,32090.999999999996,32090.999999999996,320,20410.0,32091,54074,inf,34.0,1091093.9999999998,1091093.9999999998
gavel_[0-20],openb-pod-1118,0,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
gavel_[0-20],openb-pod-1478,2,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
gavel_[0-20],openb-pod-1976,4,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
gavel_[0-20],openb-pod-1589,3,A100,1528.0,1528.0,460,1528.0,2792,3736,inf,108.0,165024.0,165024.0
gavel_[0-20],openb-pod-1652,1,A100,1710.0,1710.0,470,1710.0,3391,4237,inf,106.0,181260.0,181260.0
gavel_[0-20],openb-pod-1968,8,GTX2080Ti,3215.0,3215.0,460,1741.0,3215,4277,inf,108.0,347220.0,347220.0
gavel_[0-20],openb-pod-1783,5,GTX2080Ti,3215.0,3215.0,160,2026.0,3215,5317,inf,0.0,0.0,0.0
gavel_[0-20],openb-pod-2335,7,GTX2080Ti,3790.0,3790.0,230,2554.0,3790,6413,inf,38.5,145915.0,145915.0
gavel_[0-20],openb-pod-3108,6,GTX2080Ti,3879.0,3879.0,460,2371.0,3879,6213,3899.0,108.0,418932.0,418932.0
gavel_[0-20],openb-pod-2038,9,GTX2080Ti,5668.0,5668.0,470,3066.0,5668,7840,inf,106.0,600808.0,600808.0
gavel_[0-20],openb-pod-3246,0,A100,5756.999999999999,6878.999999999999,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5,1551214.5
gavel_[0-20],openb-pod-1918,2,A100,6416.0,7594.0,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0000000002,1461845.0000000002
gavel_[0-20],openb-pod-2677,4,A100,6936.0,8351.0,230,6936.0,9945,17310,inf,38.5,267036.0,321513.5
gavel_[0-20],openb-pod-2008,3,A100,7365.0,8893.0,320,7365.0,11168,17685,inf,34.0,250410.0,302362.0
gavel_[0-20],openb-pod-1426,1,A100,7443.0,9153.0,320,7443.0,13492,19231,inf,34.0,253062.0,311202.0
gavel_[0-20],openb-pod-2208,10,V100,12129.000000000002,12129.000000000002,320,4589.0,6747,12129,inf,34.0,412386.00000000006,412386.00000000006
gavel_[0-20],openb-pod-3380,11,V100,14584.000000000002,14584.000000000002,160,5868.0,9341,14584,inf,0.0,0.0,0.0
gavel_[0-20],openb-pod-3043,8,GTX2080Ti,21668.0,24883.0,810,11166.0,21668,29540,28770.0,161.50000000000003,3499382.0000000005,4018604.500000001
gavel_[0-20],openb-pod-2722,5,GTX2080Ti,32091.000000000007,35306.00000000001,320,20410.0,32091,54074,inf,34.0,1091094.0000000002,1200404.0000000002
gavel_[0-20],openb-pod-2154,7,GTX2080Ti,38827.99999999999,42617.99999999999,50,23497.0,38828,61265,inf,0.0,0.0,0.0
hydrababwithheuristic_1_[0-10],openb-pod-1118,0,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
hydrababwithheuristic_1_[0-10],openb-pod-1478,2,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
hydrababwithheuristic_1_[0-10],openb-pod-1976,3,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
hydrababwithheuristic_1_[0-10],openb-pod-1968,1,A100,1741.0,1741.0,460,1741.0,3215,4277,inf,108.0,188028.0,188028.0
hydrababwithheuristic_1_[0-10],openb-pod-3108,4,A100,2371.0,2371.0,460,2371.0,3879,6213,3899.0,108.0,256068.0,256068.0
hydrababwithheuristic_1_[0-10],openb-pod-3246,0,A100,5757.0,6879.0,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5000000002,1551214.5000000002
hydrababwithheuristic_1_[0-10],openb-pod-1918,2,A100,6416.0,7593.0,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0000000002,1461652.5000000002
hydrababwithheuristic_1_[0-10],openb-pod-2677,3,A100,6936.0,8350.0,230,6936.0,9945,17310,inf,38.5,267036.0,321475.0
hydrababwithheuristic_1_[0-10],openb-pod-3043,1,A100,11165.999999999998,12906.999999999998,810,11166.0,21668,29540,28770.0,161.50000000000003,1803309.0,2084480.5
hydrababwithheuristic_1_[0-10],openb-pod-2722,4,A100,20410.0,22781.0,320,20410.0,32091,54074,inf,34.0,693940.0,774554.0
hydrababwithheuristic_1_[0-20],openb-pod-1118,2,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
hydrababwithheuristic_1_[0-20],openb-pod-1478,4,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
hydrababwithheuristic_1_[0-20],openb-pod-1976,3,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
hydrababwithheuristic_1_[0-20],openb-pod-1589,1,A100,1528.0,1528.0,460,1528.0,2792,3736,inf,108.0,165024.0,165024.0
hydrababwithheuristic_1_[0-20],openb-pod-1652,0,A100,1710.0,1710.0,470,1710.0,3391,4237,inf,106.0,181260.0,181260.0
hydrababwithheuristic_1_[0-20],openb-pod-1968,8,GTX2080Ti,3215.0,3215.0,460,1741.0,3215,4277,inf,108.0,347220.0,347220.0
hydrababwithheuristic_1_[0-20],openb-pod-1783,6,GTX2080Ti,3215.0,3215.0,160,2026.0,3215,5317,inf,0.0,0.0,0.0
hydrababwithheuristic_1_[0-20],openb-pod-2335,7,GTX2080Ti,3790.0,3790.0,230,2554.0,3790,6413,inf,38.5,145915.0,145915.0
hydrababwithheuristic_1_[0-20],openb-pod-3108,9,GTX2080Ti,3879.0,3879.0,460,2371.0,3879,6213,3899.0,108.0,418932.0,418932.0
hydrababwithheuristic_1_[0-20],openb-pod-2038,2,A100,3066.0,4188.0,470,3066.0,5668,7840,inf,106.0,324996.0,443928.0
hydrababwithheuristic_1_[0-20],openb-pod-2208,5,GTX2080Ti,6747.0,6747.0,320,4589.0,6747,12129,inf,34.0,229398.0,229398.0
hydrababwithheuristic_1_[0-20],openb-pod-3246,4,A100,5756.999999999999,6933.999999999999,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5,1563617.0
hydrababwithheuristic_1_[0-20],openb-pod-3380,3,A100,5868.0,7282.0,160,5868.0,9341,14584,inf,0.0,0.0,0.0
hydrababwithheuristic_1_[0-20],openb-pod-1918,1,A100,6416.0,7944.0,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0000000002,1529220.0000000002
hydrababwithheuristic_1_[0-20],openb-pod-2677,0,A100,6936.0,8646.0,230,6936.0,9945,17310,inf,38.5,267036.0,332871.0
hydrababwithheuristic_1_[0-20],openb-pod-2008,2,A100,7365.0,11553.0,320,7365.0,11168,17685,inf,34.0,250410.0,392802.0
hydrababwithheuristic_1_[0-20],openb-pod-3043,4,A100,11166.0,18100.0,810,11166.0,21668,29540,28770.0,161.50000000000003,1803309.0000000002,2923150.0000000005
hydrababwithheuristic_1_[0-20],openb-pod-1426,11,V100,19231.0,19231.0,320,7443.0,13492,19231,inf,34.0,653854.0,653854.0
hydrababwithheuristic_1_[0-20],openb-pod-2722,3,A100,20410.0,27692.0,320,20410.0,32091,54074,inf,34.0,693940.0,941528.0
hydrababwithheuristic_1_[0-20],openb-pod-2154,1,A100,23497.0,31441.0,50,23497.0,38828,61265,inf,0.0,0.0,0.0
hydrababwithheuristic_3_[0-10],openb-pod-1118,4,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
hydrababwithheuristic_3_[0-10],openb-pod-1478,3,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
hydrababwithheuristic_3_[0-10],openb-pod-1976,2,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
hydrababwithheuristic_3_[0-10],openb-pod-1968,0,A100,1741.0,1741.0,460,1741.0,3215,4277,inf,108.0,188028.0,188028.0
hydrababwithheuristic_3_[0-10],openb-pod-3108,1,A100,2371.0,2371.0,460,2371.0,3879,6213,3899.0,108.0,256068.0,256068.0
hydrababwithheuristic_3_[0-10],openb-pod-3246,4,A100,5757.0,6879.0,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5000000002,1551214.5000000002
hydrababwithheuristic_3_[0-10],openb-pod-1918,3,A100,6416.0,7593.0,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0000000002,1461652.5000000002
hydrababwithheuristic_3_[0-10],openb-pod-2677,2,A100,6936.0,8350.0,230,6936.0,9945,17310,inf,38.5,267036.0,321475.0
hydrababwithheuristic_3_[0-10],openb-pod-3043,0,A100,11165.999999999998,12906.999999999998,810,11166.0,21668,29540,28770.0,161.50000000000003,1803309.0,2084480.5
hydrababwithheuristic_3_[0-10],openb-pod-2722,1,A100,20410.0,22781.0,320,20410.0,32091,54074,inf,34.0,693940.0,774554.0
hydrababwithheuristic_3_[0-20],openb-pod-1118,3,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
hydrababwithheuristic_3_[0-20],openb-pod-1478,1,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
hydrababwithheuristic_3_[0-20],openb-pod-1976,2,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
hydrababwithheuristic_3_[0-20],openb-pod-1589,0,A100,1528.0,1528.0,460,1528.0,2792,3736,inf,108.0,165024.0,165024.0
hydrababwithheuristic_3_[0-20],openb-pod-1652,4,A100,1710.0,1710.0,470,1710.0,3391,4237,inf,106.0,181260.0,181260.0
hydrababwithheuristic_3_[0-20],openb-pod-1783,6,GTX2080Ti,3215.0,3215.0,160,2026.0,3215,5317,inf,0.0,0.0,0.0
